青白 (あおじろ)
返品 (へんぴん)
返本 (へんぽん)
返礼 (へんれい)
勉学 (べんがく)
勉強 (べんきょう)
放火 (ほうか)
放言 (ほうげん)
放校 (ほうこう)
方向 (ほうこう)
方式 (ほうしき)
放出 (ほうしゅつ)
放心 (ほうしん)
放水 (ほうすい)
放送 (ほうそう)
放題 (ほうだい)
放談 (ほうだん)
放電 (ほうでん)
方面 (ほうめん)
放流 (ほうりゅう)
北部 (ほくぶ)
北洋 (ほくよう)
反古 (ほご)
歩調 (ほちょう)
発起 (ほっき)
発作 (ほっさ)
発足 (ほっそく)
本意 (ほんい)
本館 (ほんかん)
本局 (ほんきょく)
本業 (ほんぎょう)
本式 (ほんしき)
本章 (ほんしょう)
本代 (ほんだい)
本題 (ほんだい)
本箱 (ほんばこ)
本部 (ほんぶ)
本命 (ほんめい)
本物 (ほんもの)
本屋 (ほんや)
本流 (ほんりゅう)
母港 (ぼこう)
毎期 (まいき)
毎度 (まいど)
真上 (まうえ)
前歯 (まえば)
真顔 (まがお)
真木 (まき)
真北 (まきた)
真心 (まごころ)
真下 (ました)
待合 (まちあい)
待人 (まちびと)
真向 (まっこう)
真直 (まっすぐ)
真夏 (まなつ)
真西 (まにし)
真東 (まひがし)
真昼 (まひる)
真冬 (まふゆ)
目深 (まぶか)
真水 (まみず)
真南 (まみなみ)
豆球 (まめきゅう)
客人 (まろうど)
真中 (まんなか)
万葉 (まんよう)
身内 (みうち)
見送 (みおく)
見落 (みおと)
身重 (みおも)
見返 (みかえ)
見返 (みかえ)
味方 (みかた)
身軽 (みがる)
見事 (みごと)
水着 (みずぎ)
身空 (みそら)
身近 (みぢか)
見取 (みと)
見所 (みどころ)
水面 (みなも)
見習 (みなら)
見放 (みはな)
見開 (みひら)
身分 (みぶん)
見守 (みまも)
見向 (みむ)
身元 (みもと)
深山 (みやま)
名代 (みょうだい)
昔話 (むかしばなし)
麦畑 (むぎばたけ)
虫歯 (むしば)
息子 (むすこ)
明暗 (めいあん)
名医 (めいい)
命運 (めいうん)
名曲 (めいきょく)
名所 (めいしょ)
名勝 (めいしょう)
名実 (めいじつ)
命題 (めいだい)
命中 (めいちゅう)
明度 (めいど)
命日 (めいにち)
名物 (めいぶつ)
命名 (めいめい)
女神 (めがみ)
目薬 (めぐすり)
目指 (めざ)
目鼻 (めはな)
目安 (めやす)
面会 (めんかい)
面前 (めんぜん)
面相 (めんそう)
面談 (めんだん)
面子 (めんつ)
面目 (めんぼく)
面目 (めんもく)
毛筆 (もうひつ)
目指 (もくし)
目次 (もくじ)
木炭 (もくたん)
元帳 (もとちょう)
物音 (ものおと)
物語 (ものがた)
物語 (ものがたり)
物事 (ものごと)
母屋 (もや)
門歯 (もんし)
問題 (もんだい)
問答 (もんどう)
文部 (もんぶ)
文様 (もんよう)
八重 (やえ)
矢面 (やおもて)
屋形 (やかた)
野球 (やきゅう)
山羊 (やぎ)
夜着 (やぎ)
役員 (やくいん)
薬学 (やくがく)
役者 (やくしゃ)
役所 (やくしょ)
薬草 (やくそう)
役立 (やくだ)
役人 (やくにん)
役場 (やくば)
薬品 (やくひん)
薬物 (やくぶつ)
役目 (やくめ)
薬用 (やくよう)
屋号 (やごう)
野次 (やじ)
野次 (やじ)
安物 (やすもの)
屋台 (やたい)
薬局 (やっきょく)
宿屋 (やどや)
家主 (やぬし)
屋根 (やね)
大和 (やまと)
飲茶 (やむちゃ)
有意 (ゆうい)
遊泳 (ゆうえい)
遊学 (ゆうがく)
有休 (ゆうきゅう)
遊休 (ゆうきゅう)
有形 (ゆうけい)
遊女 (ゆうじょ)
有人 (ゆうじん)
有数 (ゆうすう)
遊星 (ゆうせい)
有線 (ゆうせん)
夕陽 (ゆうひ)
有名 (ゆうめい)
有用 (ゆうよう)
有理 (ゆうり)
有力 (ゆうりょく)
湯気 (ゆげ)
油田 (ゆでん)
指先 (ゆびさき)
由来 (ゆらい)
用意 (ようい)
洋館 (ようかん)
洋画 (ようが)
陽画 (ようが)
洋楽 (ようがく)
陽気 (ようき)
洋銀 (ようぎん)
用具 (ようぐ)
洋行 (ようこう)
陽光 (ようこう)
陽子 (ようし)
様式 (ようしき)
洋式 (ようしき)
洋室 (ようしつ)
洋酒 (ようしゅ)
陽春 (ようしゅん)
洋書 (ようしょ)
洋食 (ようしょく)
用事 (ようじ)
洋上 (ようじょう)
様子 (ようす)
様相 (ようそう)
用度 (ようど)
洋品 (ようひん)
洋風 (ようふう)
洋服 (ようふく)
洋間 (ようま)
用命 (ようめい)
羊毛 (ようもう)
洋物 (ようもの)
予感 (よかん)
予期 (よき)
予言 (よげん)
予行 (よこう)
横顔 (よこがお)
横切 (よこぎ)
横様 (よこざま)
横手 (よこて)
横長 (よこなが)
横道 (よこみち)
横目 (よこめ)
予後 (よご)
予算 (よさん)
予習 (よしゅう)
予想 (よそう)
予知 (よち)
予定 (よてい)
弱味 (よわみ)
来館 (らいかん)
来期 (らいき)
来客 (らいきゃく)
来所 (らいしょ)
来世 (らいせ)
落書 (らくがき)
落後 (らくご)
落語 (らくご)
落手 (らくしゅ)
楽勝 (らくしょう)
落日 (らくじつ)
落石 (らくせき)
落第 (らくだい)
落着 (らくちゃく)
落丁 (らくちょう)
落馬 (らくば)
落葉 (らくよう)
落下 (らっか)
理事 (りじ)
理想 (りそう)
立身 (りっしん)
流会 (りゅうかい)
流感 (りゅうかん)
流血 (りゅうけつ)
流言 (りゅうげん)
流行 (りゅうこう)
流出 (りゅうしゅつ)
流水 (りゅうすい)
流速 (りゅうそく)
流体 (りゅうたい)
流通 (りゅうつう)
流動 (りゅうどう)
流入 (りゅうにゅう)
流氷 (りゅうひょう)
流用 (りゅうよう)
理由 (りゆう)
両足 (りょうあし)
両院 (りょういん)
両家 (りょうけ)
両県 (りょうけん)
両国 (りょうこく)
両市 (りょうし)
両社 (りょうしゃ)
両者 (りょうしゃ)
両親 (りょうしん)
両日 (りょうじつ)
両手 (りょうて)
両道 (りょうどう)
両人 (りょうにん)
両年 (りょうねん)
両分 (りょうぶん)
両方 (りょうほう)
両目 (りょうめ)
両面 (りょうめん)
両様 (りょうよう)
両用 (りょうよう)
両立 (りょうりつ)
旅客 (りょかく)
旅館 (りょかん)
緑色 (りょくしょく)
緑地 (りょくち)
緑茶 (りょくちゃ)
旅行 (りょこう)
緑化 (りょっか)
林業 (りんぎょう)
流転 (るてん)
礼金 (れいきん)
礼服 (れいふく)
列記 (れっき)
列強 (れっきょう)
列国 (れっこく)
列車 (れっしゃ)
列島 (れっとう)
練習 (れんしゅう)
路銀 (ろぎん)
緑青 (ろくしょう)
路地 (ろじ)
路上 (ろじょう)
路線 (ろせん)
路面 (ろめん)
和歌 (わか)
和牛 (わぎゅう)
和語 (わご)
和合 (わごう)
和紙 (わし)
和式 (わしき)
和室 (わしつ)
話者 (わしゃ)
和食 (わしょく)
和声 (わせい)
話題 (わだい)
和風 (わふう)
和服 (わふく)
和文 (わぶん)
和平 (わへい)
和名 (わめい)
和洋 (わよう)
悪気 (わるぎ)
悪口 (わるくち)
悪者 (わるもの)
愛犬 (あいけん)
愛好 (あいこう)
愛国 (あいこく)
愛唱 (あいしょう)
愛児 (あいじ)
愛人 (あいじん)
愛想 (あいそ)
愛着 (あいちゃく)
愛鳥 (あいちょう)
愛読 (あいどく)
愛用 (あいよう)
赤松 (あかまつ)
空巣 (あきす)
悪戦 (あくせん)
挙足 (あげあし)
浅黒 (あさぐろ)
朝飯 (あさめし)
校倉 (あぜくら)
徒花 (あだばな)
案外 (あんがい)
暗殺 (あんさつ)
案出 (あんしゅつ)
暗唱 (あんしょう)
安静 (あんせい)
安置 (あんち)
案内 (あんない)
塩梅 (あんばい)
以下 (いか)
以外 (いがい)
育英 (いくえい)
育種 (いくしゅ)
育児 (いくじ)
育成 (いくせい)
以後 (いご)
衣食 (いしょく)
以上 (いじょう)
以前 (いぜん)
位相 (いそう)
位置 (いち)
一堂 (いちどう)
一念 (いちねん)
一望 (いちぼう)
市松 (いちまつ)
胃腸 (いちょう)
一例 (いちれい)
一連 (いちれん)
一挙 (いっきょ)
一失 (いっしつ)
一種 (いっしゅ)
一周 (いっしゅう)
一説 (いっせつ)
一帯 (いったい)
一変 (いっぺん)
一辺 (いっぺん)
糸底 (いとぞこ)
以内 (いない)
衣服 (いふく)
以来 (いらい)
以来 (いらい)
衣料 (いりょう)
衣類 (いるい)
色刷 (いろずり)
印加 (いんか)
印刷 (いんさつ)
印紙 (いんし)
院試 (いんし)
印章 (いんしょう)
印象 (いんしょう)
印字 (いんじ)
飲料 (いんりょう)
初産 (ういざん)
雨季 (うき)
受付 (うけつけ)
氏神 (うじがみ)
右折 (うせつ)
右側 (うそく)
内祝 (うちいわい)
内側 (うちがわ)
内輪 (うちわ)
産着 (うぶぎ)
産毛 (うぶげ)
産声 (うぶごえ)
産土 (うぶすな)
産湯 (うぶゆ)
右辺 (うへん)
海辺 (うみべ)
有無 (うむ)
梅酒 (うめしゅ)
梅見 (うめみ)
雨量 (うりょう)
上側 (うわがわ)
上辺 (うわべ)
運航 (うんこう)
雲散 (うんさん)
雲量 (うんりょう)
栄光 (えいこう)
英才 (えいさい)
栄進 (えいしん)
英字 (えいじ)
栄達 (えいたつ)
英知 (えいち)
栄転 (えいてん)
英文 (えいぶん)
英明 (えいめい)
栄養 (えいよう)
英和 (えいわ)
笑顔 (えがお)
駅伝 (えきでん)
得体 (えたい)
得手 (えて)
得手 (えて)
会得 (えとく)
海老 (えび)
絵札 (えふだ)
塩化 (えんか)
遠景 (えんけい)
園芸 (えんげい)
円周 (えんしゅう)
園児 (えんじ)
塩分 (えんぶん)
円満 (えんまん)
王位 (おうい)
黄変 (おうへん)
大型 (おおがた)
大関 (おおぜき)
置場 (おきば)
置物 (おきもの)
小倉 (おぐら)
白粉 (おしろい)
覚書 (おぼえがき)
表側 (おもてがわ)
音信 (おんしん)
温順 (おんじゅん)
音節 (おんせつ)
温帯 (おんたい)
温熱 (おんねつ)
音便 (おんびん)
温浴 (おんよく)
音量 (おんりょう)
下位 (かい)
改悪 (かいあく)
改印 (かいいん)
会議 (かいぎ)
改行 (かいぎょう)
海軍 (かいぐん)
改元 (かいげん)
回航 (かいこう)
階差 (かいさ)
改作 (かいさく)
改札 (かいさつ)
改心 (かいしん)
改新 (かいしん)
改正 (かいせい)
会席 (かいせき)
会戦 (かいせん)
改選 (かいせん)
開戦 (かいせん)
改組 (かいそ)
改題 (かいだい)
改定 (かいてい)
海底 (かいてい)
会堂 (かいどう)
街道 (かいどう)
会費 (かいひ)
開票 (かいひょう)
回付 (かいふ)
改変 (かいへん)
改名 (かいめい)
海陸 (かいりく)
改良 (かいりょう)
係官 (かかりかん)
加害 (かがい)
課外 (かがい)
夏季 (かき)
花器 (かき)
書置 (かきおき)
課金 (かきん)
各位 (かくい)
各員 (かくいん)
各駅 (かくえき)
各課 (かくか)
各階 (かくかい)
各県 (かくけん)
各校 (かくこう)
角材 (かくざい)
各市 (かくし)
各紙 (かくし)
各室 (かくしつ)
各社 (かくしゃ)
各種 (かくしゅ)
各週 (かくしゅう)
各所 (かくしょ)
各自 (かくじ)
各人 (かくじん)
各線 (かくせん)
画然 (かくぜん)
各地 (かくち)
各月 (かくつき)
各店 (かくてん)
各点 (かくてん)
各部 (かくぶ)
各面 (かくめん)
加工 (かこう)
加算 (かさん)
貨車 (かしゃ)
歌唱 (かしょう)
家臣 (かしん)
果実 (かじつ)
加重 (かじゅう)
化成 (かせい)
加速 (かそく)
型紙 (かたがみ)
型番 (かたばん)
課題 (かだい)
課長 (かちょう)
各回 (かっかい)
各界 (かっかい)
各局 (かっきょく)
各国 (かっこく)
合戦 (かっせん)
家伝 (かでん)
門松 (かどまつ)
課内 (かない)
果肉 (かにく)
加入 (かにゅう)
加熱 (かねつ)
加筆 (かひつ)
下付 (かふ)
花粉 (かふん)
加味 (かみ)
課目 (かもく)
貨物 (かもつ)
借方 (かりかた)
科料 (かりょう)
川底 (かわぞこ)
官界 (かんかい)
感覚 (かんかく)
寒害 (かんがい)
官学 (かんがく)
観客 (かんきゃく)
官業 (かんぎょう)
管区 (かんく)
官軍 (かんぐん)
関係 (かんけい)
完結 (かんけつ)
間欠 (かんけつ)
完工 (かんこう)
観光 (かんこう)
観察 (かんさつ)
観賞 (かんしょう)
関心 (かんしん)
官女 (かんじょ)
関数 (かんすう)
完成 (かんせい)
関節 (かんせつ)
観戦 (かんせん)
完全 (かんぜん)
完走 (かんそう)
寒帯 (かんたい)
関知 (かんち)
管長 (かんちょう)
感付 (かんづ)
観点 (かんてん)
管内 (かんない)
観念 (かんねん)
観音 (かんのん)
寒梅 (かんばい)
完売 (かんばい)
完敗 (かんぱい)
関白 (かんぱく)
官民 (かんみん)
関門 (かんもん)
管理 (かんり)
寒冷 (かんれい)
関連 (かんれん)
害悪 (がいあく)
外貨 (がいか)
外観 (がいかん)
外材 (がいざい)
外周 (がいしゅう)
外信 (がいしん)
外積 (がいせき)
害虫 (がいちゅう)
外的 (がいてき)
外伝 (がいでん)
外灯 (がいとう)
街灯 (がいとう)
街頭 (がいとう)
害毒 (がいどく)
外輪 (がいりん)
街路 (がいろ)
学位 (がくい)
学芸 (がくげい)
学士 (がくし)
学説 (がくせつ)
学卒 (がくそつ)
楽隊 (がくたい)
学的 (がくてき)
学堂 (がくどう)
楽堂 (がくどう)
学費 (がくひ)
学歴 (がくれき)
画材 (がざい)
学課 (がっか)
楽器 (がっき)
合唱 (がっしょう)
岩塩 (がんえん)
願書 (がんしょ)
願望 (がんぼう)
元利 (がんり)
顔料 (がんりょう)
起案 (きあん)
機運 (きうん)
器械 (きかい)
機会 (きかい)
機械 (きかい)
器官 (きかん)
機関 (きかん)
気管 (きかん)
器楽 (きがく)
機器 (きき)
希求 (ききゅう)
器具 (きぐ)
機具 (きぐ)
気位 (きぐらい)
帰結 (きけつ)
紀元 (きげん)
気候 (きこう)
気功 (きこう)
紀行 (きこう)
季語 (きご)
帰参 (きさん)
機材 (きざい)
岸辺 (きしべ)
旗手 (きしゅ)
機種 (きしゅ)
機首 (きしゅ)
期初 (きしょ)
希少 (きしょう)
気象 (きしょう)
機上 (きじょう)
帰省 (きせい)
季節 (きせつ)
機体 (きたい)
北側 (きたがわ)
機知 (きち)
機長 (きちょう)
気付 (きづ)
気付 (きづけ)
機転 (きてん)
機動 (きどう)
機内 (きない)
記念 (きねん)
昨日 (きのう)
起票 (きひょう)
記法 (きほう)
希望 (きぼう)
期末 (きまつ)
君達 (きみたち)
客席 (きゃくせき)
客観 (きゃっかん)
求愛 (きゅうあい)
救急 (きゅうきゅう)
究極 (きゅうきょく)
給金 (きゅうきん)
急告 (きゅうこく)
救出 (きゅうしゅつ)
給食 (きゅうしょく)
給仕 (きゅうじ)
救助 (きゅうじょ)
求人 (きゅうじん)
給水 (きゅうすい)
求積 (きゅうせき)
休戦 (きゅうせん)
給電 (きゅうでん)
給湯 (きゅうとう)
